suburb,date,price
Forde,2011-02-25,256000
Harrison,2011-02-25,532500
Dunlop,2011-02-25,409000
Fisher,2011-02-25,510000
Wanniassa,2011-02-25,419000
Calwell,2011-02-25,12783
Dunlop,2011-02-25,552500
Isabella Plains,2011-02-25,455000
Theodore,2011-02-25,586000
Ngunnawal,2011-02-25,425000
Forde,2011-02-25,868000
Gilmore,2011-02-25,481000
Harrison,2011-02-25,482000
Gungahlin,2011-02-25,910000
Nicholls,2011-02-25,682500
Forde,2011-02-25,413000
Flynn,2011-02-25,670000
Holt,2011-02-25,486500
Chifley,2011-02-25,655000
Weetangera,2011-02-25,780000
Gungahlin,2011-02-25,561000
Giralang,2011-02-25,550000
Casey,2011-02-25,307500
Casey,2011-02-25,540000
Dunlop,2011-02-25,511000
Fisher,2011-02-25,570000
O'Connor,2011-02-25,731000
Ngunnawal,2011-02-25,395000
Fisher,2011-02-25,750000
Chifley,2011-02-25,655000
Casey,2011-02-25,255000
Cook,2011-02-26,588000
Red Hill,2011-02-26,1400000
Farrer,2011-02-26,627500
Campbell,2011-02-26,900000
Weetangera,2011-02-26,750000
O'Connor,2011-02-26,715000
Holder,2011-02-26,555000
Lyneham,2011-02-26,672000
Conder,2011-02-26,502500
Banks,2011-02-26,474000
Macquarie,2011-02-26,660000
O'Connor,2011-02-26,862000
Casey,2011-02-26,225000
O'Connor,2011-02-26,837000
Cook,2011-02-27,745000
Casey,2011-02-28,302500
Ngunnawal,2011-02-28,535000
Casey,2011-02-28,265000
Kambah,2011-02-28,530000
Forde,2011-02-28,270000
Duffy,2011-02-28,650000
Ngunnawal,2011-02-28,425000
Forde,2011-02-28,254000
Forde,2011-02-28,665000
Griffith,2011-02-28,1140000
Amaroo,2011-03-01,507500
Amaroo,2011-03-01,510000
Holder,2011-03-01,600000
Bonner,2011-03-01,240000
Kambah,2011-03-01,499500
Theodore,2011-03-01,415500
Hackett,2011-03-01,720000
Casey,2011-03-01,221000
Fadden,2011-03-01,750000
Casey,2011-03-01,305000
Richardson,2011-03-01,419134
Giralang,2011-03-01,500000
Melba,2011-03-01,525000
Forde,2011-03-01,321000
Bonner,2011-03-01,465000
Chisholm,2011-03-01,449000
Franklin,2011-03-01,725000
Franklin,2011-03-01,580000
Melba,2011-03-01,420000
Conder,2011-03-01,715000
Amaroo,2011-03-01,665000
Melba,2011-03-01,675000
Forde,2011-03-01,283000
Crace,2011-03-01,500000
Evatt,2011-03-02,245000
Casey,2011-03-02,260000
Dunlop,2011-03-02,440500
Fisher,2011-03-02,505000
Casey,2011-03-02,210000
Hughes,2011-03-02,875000
Forde,2011-03-02,299000
Oxley,2011-03-02,720000
Chisholm,2011-03-02,442500
Gordon,2011-03-02,565000
Conder,2011-03-02,435000
Chifley,2011-03-02,620000
Isabella Plains,2011-03-02,473000
Forde,2011-03-02,312000
Kambah,2011-03-02,720000
Scullin,2011-03-02,477500
Lyneham,2011-03-02,600000
Florey,2011-03-02,610000
Casey,2011-03-02,533000
Hawker,2011-03-03,955000
Monash,2011-03-03,420000
Ngunnawal,2011-03-03,395000
Latham,2011-03-03,505000
Nicholls,2011-03-03,678000
Forde,2011-03-03,311000
Hackett,2011-03-03,565200
Casey,2011-03-03,245000
Watson,2011-03-03,665000
Narrabundah,2011-03-03,450000
